subject_id,scenario_label,intimacy,motivation,action,p_action
0383cffe-7969-5917-85d5-e47d0c729fcc,fair,0,high,2,0.06
0383cffe-7969-5917-85d5-e47d0c729fcc,fair,0,high,3,0.0
0383cffe-7969-5917-85d5-e47d0c729fcc,gala,75,high,0,0.05
0383cffe-7969-5917-85d5-e47d0c729fcc,gala,75,high,1,0.6
0383cffe-7969-5917-85d5-e47d0c729fcc,gala,75,high,2,0.24
0383cffe-7969-5917-85d5-e47d0c729fcc,gala,75,high,3,0.11
0383cffe-7969-5917-85d5-e47d0c729fcc,hike,75,low,0,0.93
0383cffe-7969-5917-85d5-e47d0c729fcc,hike,75,low,1,0.07
0383cffe-7969-5917-85d5-e47d0c729fcc,hike,75,low,2,0.0
0383cffe-7969-5917-85d5-e47d0c729fcc,hike,75,low,3,0.0
0383cffe-7969-5917-85d5-e47d0c729fcc,oysters,0,low,0,1.0
0383cffe-7969-5917-85d5-e47d0c729fcc,oysters,0,low,1,0.0
0383cffe-7969-5917-85d5-e47d0c729fcc,oysters,0,low,2,0.0
0383cffe-7969-5917-85d5-e47d0c729fcc,oysters,0,low,3,0.0
0383cffe-7969-5917-85d5-e47d0c729fcc,social,75,high,0,0.0
0383cffe-7969-5917-85d5-e47d0c729fcc,social,75,high,1,0.97
0383cffe-7969-5917-85d5-e47d0c729fcc,social,75,high,2,0.02
0383cffe-7969-5917-85d5-e47d0c729fcc,social,75,high,3,0.01
0383cffe-7969-5917-85d5-e47d0c729fcc,soup,50,high,0,0.29
0383cffe-7969-5917-85d5-e47d0c729fcc,soup,50,high,1,0.14
0383cffe-7969-5917-85d5-e47d0c729fcc,soup,50,high,2,0.0
0383cffe-7969-5917-85d5-e47d0c729fcc,soup,50,high,3,0.57
0383cffe-7969-5917-85d5-e47d0c729fcc,takeout,50,low,0,0.93
0383cffe-7969-5917-85d5-e47d0c729fcc,takeout,50,low,1,0.07
0383cffe-7969-5917-85d5-e47d0c729fcc,takeout,50,low,2,0.0
0383cffe-7969-5917-85d5-e47d0c729fcc,takeout,50,low,3,0.0
0383cffe-7969-5917-85d5-e47d0c729fcc,wedding,75,low,0,1.0
0383cffe-7969-5917-85d5-e47d0c729fcc,wedding,75,low,1,0.0
0383cffe-7969-5917-85d5-e47d0c729fcc,wedding,75,low,2,0.0
0383cffe-7969-5917-85d5-e47d0c729fcc,wedding,75,low,3,0.0
0872f56d-77a1-55ee-a5a1-726393de53df,apples,100,high,0,0.12
0872f56d-77a1-55ee-a5a1-726393de53df,apples,100,high,1,0.64
0872f56d-77a1-55ee-a5a1-726393de53df,apples,100,high,2,0.12
0872f56d-77a1-55ee-a5a1-726393de53df,apples,100,high,3,0.12
0872f56d-77a1-55ee-a5a1-726393de53df,basketball,0,high,0,0.08
0872f56d-77a1-55ee-a5a1-726393de53df,basketball,0,high,1,0.76
0872f56d-77a1-55ee-a5a1-726393de53df,basketball,0,high,2,0.08
0872f56d-77a1-55ee-a5a1-726393de53df,basketball,0,high,3,0.08
0872f56d-77a1-55ee-a5a1-726393de53df,birthday,75,low,0,0.19
